
=== CAPTURE 2026-09-03T16:00:41.518748 ===
16:01:32.246 | B1 3B 72     | CC 3B value=72                      | control_change channel=1 control=59 value=114 time=0
16:01:32.253 | B1 3B 71     | CC 3B value=71                      | control_change channel=1 control=59 value=113 time=0
16:01:32.258 | B1 3B 70     | CC 3B value=70                      | control_change channel=1 control=59 value=112 time=0
16:01:32.265 | B1 3B 6F     | CC 3B value=6F                      | control_change channel=1 control=59 value=111 time=0
16:01:32.270 | B1 3B 6E     | CC 3B value=6E                      | control_change channel=1 control=59 value=110 time=0
16:01:32.278 | B1 3B 6D     | CC 3B value=6D                      | control_change channel=1 control=59 value=109 time=0
16:01:32.281 | B1 3B 6C     | CC 3B value=6C                      | control_change channel=1 control=59 value=108 time=0
16:01:32.289 | B1 3B 6B     | CC 3B value=6B                      | control_change channel=1 control=59 value=107 time=0
16:01:32.298 | B1 3B 6A     | CC 3B value=6A                      | control_change channel=1 control=59 value=106 time=0
16:01:32.301 | B1 3B 69     | CC 3B value=69                      | control_change channel=1 control=59 value=105 time=0
16:01:32.310 | B1 3B 68     | CC 3B value=68                      | control_change channel=1 control=59 value=104 time=0
16:01:32.314 | B1 3B 67     | CC 3B value=67                      | control_change channel=1 control=59 value=103 time=0
16:01:32.322 | B1 3B 66     | CC 3B value=66                      | control_change channel=1 control=59 value=102 time=0
16:01:32.329 | B1 3B 65     | CC 3B value=65                      | control_change channel=1 control=59 value=101 time=0
16:01:32.334 | B1 3B 64     | CC 3B value=64                      | control_change channel=1 control=59 value=100 time=0
16:01:32.342 | B1 3B 63     | CC 3B value=63                      | control_change channel=1 control=59 value=99 time=0
16:01:32.347 | B1 3B 62     | CC 3B value=62                      | control_change channel=1 control=59 value=98 time=0
16:01:32.354 | B1 3B 61     | CC 3B value=61                      | control_change channel=1 control=59 value=97 time=0
16:01:32.358 | B1 3B 60     | CC 3B value=60                      | control_change channel=1 control=59 value=96 time=0
16:01:32.365 | B1 3B 5F     | CC 3B value=5F                      | control_change channel=1 control=59 value=95 time=0
16:01:32.370 | B1 3B 5E     | CC 3B value=5E                      | control_change channel=1 control=59 value=94 time=0
16:01:32.378 | B1 3B 5D     | CC 3B value=5D                      | control_change channel=1 control=59 value=93 time=0
16:01:32.382 | B1 3B 5C     | CC 3B value=5C                      | control_change channel=1 control=59 value=92 time=0
16:01:32.390 | B1 3B 5B     | CC 3B value=5B                      | control_change channel=1 control=59 value=91 time=0
16:01:32.395 | B1 3B 5A     | CC 3B value=5A                      | control_change channel=1 control=59 value=90 time=0
16:01:32.401 | B1 3B 59     | CC 3B value=59                      | control_change channel=1 control=59 value=89 time=0
16:01:32.406 | B1 3B 58     | CC 3B value=58                      | control_change channel=1 control=59 value=88 time=0
16:01:32.410 | B1 3B 57     | CC 3B value=57                      | control_change channel=1 control=59 value=87 time=0
16:01:32.419 | B1 3B 56     | CC 3B value=56                      | control_change channel=1 control=59 value=86 time=0
16:01:32.422 | B1 3B 55     | CC 3B value=55                      | control_change channel=1 control=59 value=85 time=0
16:01:32.430 | B1 3B 54     | CC 3B value=54                      | control_change channel=1 control=59 value=84 time=0
16:01:32.434 | B1 3B 53     | CC 3B value=53                      | control_change channel=1 control=59 value=83 time=0
16:01:32.437 | B1 3B 52     | CC 3B value=52                      | control_change channel=1 control=59 value=82 time=0
16:01:32.446 | B1 3B 51     | CC 3B value=51                      | control_change channel=1 control=59 value=81 time=0
16:01:32.449 | B1 3B 50     | CC 3B value=50                      | control_change channel=1 control=59 value=80 time=0
16:01:32.454 | B1 3B 4F     | CC 3B value=4F                      | control_change channel=1 control=59 value=79 time=0
16:01:32.457 | B1 3B 4E     | CC 3B value=4E                      | control_change channel=1 control=59 value=78 time=0
16:01:32.466 | B1 3B 4D     | CC 3B value=4D                      | control_change channel=1 control=59 value=77 time=0
16:01:32.469 | B1 3B 4C     | CC 3B value=4C                      | control_change channel=1 control=59 value=76 time=0
16:01:32.473 | B1 3B 4B     | CC 3B value=4B                      | control_change channel=1 control=59 value=75 time=0
16:01:32.481 | B1 3B 4A     | CC 3B value=4A                      | control_change channel=1 control=59 value=74 time=0
16:01:32.485 | B1 3B 49     | CC 3B value=49                      | control_change channel=1 control=59 value=73 time=0
16:01:32.490 | B1 3B 48     | CC 3B value=48                      | control_change channel=1 control=59 value=72 time=0
16:01:32.497 | B1 3B 47     | CC 3B value=47                      | control_change channel=1 control=59 value=71 time=0
16:01:32.502 | B1 3B 46     | CC 3B value=46                      | control_change channel=1 control=59 value=70 time=0
16:01:32.506 | B1 3B 45     | CC 3B value=45                      | control_change channel=1 control=59 value=69 time=0
16:01:32.510 | B1 3B 44     | CC 3B value=44                      | control_change channel=1 control=59 value=68 time=0
16:01:32.517 | B1 3B 43     | CC 3B value=43                      | control_change channel=1 control=59 value=67 time=0
16:01:32.521 | B1 3B 42     | CC 3B value=42                      | control_change channel=1 control=59 value=66 time=0
16:01:32.526 | B1 3B 41     | CC 3B value=41                      | control_change channel=1 control=59 value=65 time=0
16:01:32.534 | B1 3B 40     | CC 3B value=40                      | control_change channel=1 control=59 value=64 time=0
16:01:32.538 | B1 3B 3F     | CC 3B value=3F                      | control_change channel=1 control=59 value=63 time=0
16:01:32.541 | B1 3B 3E     | CC 3B value=3E                      | control_change channel=1 control=59 value=62 time=0
16:01:32.546 | B1 3B 3D     | CC 3B value=3D                      | control_change channel=1 control=59 value=61 time=0
16:01:32.554 | B1 3B 3C     | CC 3B value=3C                      | control_change channel=1 control=59 value=60 time=0
16:01:32.557 | B1 3B 3B     | CC 3B value=3B                      | control_change channel=1 control=59 value=59 time=0
16:01:32.562 | B1 3B 3A     | CC 3B value=3A                      | control_change channel=1 control=59 value=58 time=0
16:01:32.566 | B1 3B 39     | CC 3B value=39                      | control_change channel=1 control=59 value=57 time=0
16:01:32.575 | B1 3B 38     | CC 3B value=38                      | control_change channel=1 control=59 value=56 time=0
16:01:32.578 | B1 3B 37     | CC 3B value=37                      | control_change channel=1 control=59 value=55 time=0
16:01:32.582 | B1 3B 36     | CC 3B value=36                      | control_change channel=1 control=59 value=54 time=0
16:01:32.586 | B1 3B 35     | CC 3B value=35                      | control_change channel=1 control=59 value=53 time=0
16:01:32.594 | B1 3B 33     | CC 3B value=33                      | control_change channel=1 control=59 value=51 time=0
16:01:32.602 | B1 3B 32     | CC 3B value=32                      | control_change channel=1 control=59 value=50 time=0
16:01:32.605 | B1 3B 31     | CC 3B value=31                      | control_change channel=1 control=59 value=49 time=0
16:01:32.614 | B1 3B 30     | CC 3B value=30                      | control_change channel=1 control=59 value=48 time=0
16:01:32.618 | B1 3B 2F     | CC 3B value=2F                      | control_change channel=1 control=59 value=47 time=0
16:01:32.622 | B1 3B 2E     | CC 3B value=2E                      | control_change channel=1 control=59 value=46 time=0
16:01:32.625 | B1 3B 2D     | CC 3B value=2D                      | control_change channel=1 control=59 value=45 time=0
16:01:32.629 | B1 3B 2C     | CC 3B value=2C                      | control_change channel=1 control=59 value=44 time=0
16:01:32.635 | B1 3B 2B     | CC 3B value=2B                      | control_change channel=1 control=59 value=43 time=0
16:01:32.642 | B1 3B 2A     | CC 3B value=2A                      | control_change channel=1 control=59 value=42 time=0
16:01:32.647 | B1 3B 29     | CC 3B value=29                      | control_change channel=1 control=59 value=41 time=0
16:01:32.650 | B1 3B 28     | CC 3B value=28                      | control_change channel=1 control=59 value=40 time=0
16:01:32.653 | B1 3B 27     | CC 3B value=27                      | control_change channel=1 control=59 value=39 time=0
16:01:32.658 | B1 3B 26     | CC 3B value=26                      | control_change channel=1 control=59 value=38 time=0
16:01:32.665 | B1 3B 25     | CC 3B value=25                      | control_change channel=1 control=59 value=37 time=0
16:01:32.670 | B1 3B 24     | CC 3B value=24                      | control_change channel=1 control=59 value=36 time=0
16:01:32.674 | B1 3B 23     | CC 3B value=23                      | control_change channel=1 control=59 value=35 time=0
16:01:32.678 | B1 3B 22     | CC 3B value=22                      | control_change channel=1 control=59 value=34 time=0
16:01:32.682 | B1 3B 21     | CC 3B value=21                      | control_change channel=1 control=59 value=33 time=0
16:01:32.689 | B1 3B 20     | CC 3B value=20                      | control_change channel=1 control=59 value=32 time=0
16:01:32.694 | B1 3B 1F     | CC 3B value=1F                      | control_change channel=1 control=59 value=31 time=0
16:01:32.697 | B1 3B 1E     | CC 3B value=1E                      | control_change channel=1 control=59 value=30 time=0
16:01:32.701 | B1 3B 1D     | CC 3B value=1D                      | control_change channel=1 control=59 value=29 time=0
16:01:32.706 | B1 3B 1C     | CC 3B value=1C                      | control_change channel=1 control=59 value=28 time=0
16:01:32.714 | B1 3B 1B     | CC 3B value=1B                      | control_change channel=1 control=59 value=27 time=0
16:01:32.718 | B1 3B 1A     | CC 3B value=1A                      | control_change channel=1 control=59 value=26 time=0
16:01:32.726 | B1 3B 19     | CC 3B value=19                      | control_change channel=1 control=59 value=25 time=0
16:01:32.731 | B1 3B 18     | CC 3B value=18                      | control_change channel=1 control=59 value=24 time=0
16:01:32.733 | B1 3B 17     | CC 3B value=17                      | control_change channel=1 control=59 value=23 time=0
16:01:32.742 | B1 3B 16     | CC 3B value=16                      | control_change channel=1 control=59 value=22 time=0
16:01:32.746 | B1 3B 15     | CC 3B value=15                      | control_change channel=1 control=59 value=21 time=0
16:01:32.749 | B1 3B 14     | CC 3B value=14                      | control_change channel=1 control=59 value=20 time=0
16:01:32.757 | B1 3B 13     | CC 3B value=13                      | control_change channel=1 control=59 value=19 time=0
16:01:32.761 | B1 3B 12     | CC 3B value=12                      | control_change channel=1 control=59 value=18 time=0
16:01:32.770 | B1 3B 11     | CC 3B value=11                      | control_change channel=1 control=59 value=17 time=0
16:01:32.773 | B1 3B 10     | CC 3B value=10                      | control_change channel=1 control=59 value=16 time=0
16:01:32.778 | B1 3B 0F     | CC 3B value=0F                      | control_change channel=1 control=59 value=15 time=0
16:01:32.785 | B1 3B 0E     | CC 3B value=0E                      | control_change channel=1 control=59 value=14 time=0
16:01:32.790 | B1 3B 0D     | CC 3B value=0D                      | control_change channel=1 control=59 value=13 time=0
16:01:32.793 | B1 3B 0C     | CC 3B value=0C                      | control_change channel=1 control=59 value=12 time=0
16:01:32.797 | B1 3B 0B     | CC 3B value=0B                      | control_change channel=1 control=59 value=11 time=0
16:01:32.802 | B1 3B 0A     | CC 3B value=0A                      | control_change channel=1 control=59 value=10 time=0
16:01:32.810 | B1 3B 09     | CC 3B value=09                      | control_change channel=1 control=59 value=9 time=0
16:01:32.814 | B1 3B 08     | CC 3B value=08                      | control_change channel=1 control=59 value=8 time=0
16:01:32.822 | B1 3B 06     | CC 3B value=06                      | control_change channel=1 control=59 value=6 time=0
16:01:32.830 | B1 3B 05     | CC 3B value=05                      | control_change channel=1 control=59 value=5 time=0
16:01:32.833 | B1 3B 04     | CC 3B value=04                      | control_change channel=1 control=59 value=4 time=0
16:01:32.838 | B1 3B 03     | CC 3B value=03                      | control_change channel=1 control=59 value=3 time=0
16:01:32.841 | B1 3B 02     | CC 3B value=02                      | control_change channel=1 control=59 value=2 time=0
